date,forebay_elv,tailwater_elv
9/30/2017,1519.13,970.9
10/1/2017,,970.9
10/1/2017,1519.03,970.9
10/2/2017,,970.9
10/2/2017,1518.96,970.9
10/3/2017,,970.9
10/3/2017,1518.9,970.9
10/4/2017,,970.9
10/4/2017,1518.79,970.9
10/5/2017,,970.9
10/5/2017,1518.68,970.9
10/6/2017,,970.9
10/6/2017,1518.57,970.9
10/7/2017,,970.9
10/7/2017,1518.43,970.9
10/8/2017,,970.9
10/8/2017,1518.36,970.9
10/9/2017,,970.9
10/9/2017,1518.32,970.9
10/10/2017,,970.9
10/10/2017,1518.23,970.9
10/11/2017,,970.9
10/11/2017,1518.11,970.9
10/12/2017,,970.9
10/12/2017,1518.06,970.9
10/13/2017,,970.9
10/13/2017,1518.05,970.9
10/14/2017,,970.9
10/14/2017,1518.03,970.9
10/15/2017,,970.9
10/15/2017,1517.99,970.9
10/16/2017,,970.9
10/16/2017,1517.92,970.9
10/17/2017,,970.9
10/17/2017,1517.84,970.94
10/18/2017,,970.94
10/18/2017,1517.77,970.95
10/19/2017,,970.95
10/19/2017,1517.7,970.95
10/20/2017,,970.95
10/20/2017,1517.7,970.95
10/21/2017,,970.95
10/21/2017,1517.73,970.95
10/22/2017,,970.95
10/22/2017,1518,970.95
10/23/2017,,970.95
10/23/2017,1518.59,970.95
10/24/2017,,970.95
10/24/2017,1518.8,970.95
10/25/2017,,970.95
10/25/2017,1518.85,970.95
10/26/2017,,970.95
10/26/2017,1518.85,971
10/27/2017,,971
10/27/2017,1518.84,970.99
10/28/2017,,970.99
10/28/2017,1518.83,970.7
10/29/2017,,970.7
10/29/2017,1518.82,970.7
10/30/2017,,970.7
10/30/2017,1518.8,970.7
10/31/2017,,970.7
10/31/2017,1518.77,970.7
11/1/2017,,970.7
11/1/2017,1518.71,970.79
11/2/2017,,970.79
11/2/2017,1518.68,970.84
11/3/2017,,970.84
11/3/2017,1518.68,970.7
11/4/2017,,970.7
11/4/2017,1518.7,970.7
11/5/2017,,970.7
11/5/2017,1518.73,
11/6/2017,1518.73,970.7
11/6/2017,1518.74,
11/7/2017,1518.74,970.7
11/7/2017,1518.73,
11/8/2017,1518.73,970.73
11/8/2017,1518.69,
11/9/2017,1518.69,970.8
11/9/2017,1518.65,
11/10/2017,1518.65,970.8
11/10/2017,1518.7,
11/11/2017,1518.7,970.74
11/11/2017,1518.79,
11/12/2017,1518.79,970.7
11/12/2017,1518.87,
11/13/2017,1518.87,970.7
11/13/2017,1518.92,
11/14/2017,1518.92,970.7
11/14/2017,1518.99,
11/15/2017,1518.99,970.7
11/15/2017,1519.05,
11/16/2017,1519.05,970.7
11/16/2017,1519.09,
11/17/2017,1519.09,970.7
11/17/2017,1519.17,
11/18/2017,1519.17,970.7
11/18/2017,1519.22,
11/19/2017,1519.22,970.7
11/19/2017,1519.25,
11/20/2017,1519.25,970.7
11/20/2017,1519.35,
11/21/2017,1519.35,970.7
11/21/2017,1519.66,
11/22/2017,1519.66,970.8
11/22/2017,1520.47,
11/23/2017,1520.47,971
11/23/2017,1521.83,
11/24/2017,1521.83,971
11/24/2017,1523.96,
11/25/2017,1523.96,971.22
11/25/2017,1525.23,
11/26/2017,1525.23,974.37
11/26/2017,1525.63,
11/27/2017,1525.63,974.3
11/27/2017,1525.89,
11/28/2017,1525.89,974.3
11/28/2017,1526.1,
11/29/2017,1526.1,974.3
11/29/2017,1526.17,
11/30/2017,1526.17,974.3
11/30/2017,1526.14,
12/1/2017,1526.14,974.3
12/1/2017,1526.05,
12/2/2017,1526.05,974.3
12/2/2017,1525.9,
12/3/2017,1525.9,974.3
12/3/2017,1525.72,
12/4/2017,1525.72,974.3
12/4/2017,1525.52,
12/5/2017,1525.52,974.3
12/5/2017,1525.26,
12/6/2017,1525.26,974.3
12/6/2017,1524.98,
12/7/2017,1524.98,974.3
12/7/2017,1523.66,
12/8/2017,1523.66,974.3
12/8/2017,1524.25,
12/9/2017,1524.25,974.3
12/9/2017,1523.84,
12/10/2017,1523.84,974.3
12/10/2017,1523.43,
12/11/2017,1523.43,974.3
12/11/2017,1522.98,
12/12/2017,1522.98,974.3
12/12/2017,1522.53,
12/13/2017,1522.53,974.3
12/13/2017,1522.1,
12/14/2017,1522.1,974.3
12/14/2017,1521.75,
12/15/2017,1521.75,974.3
12/15/2017,1521.59,
12/16/2017,1521.59,971.77
12/16/2017,1521.63,
12/17/2017,1521.63,971.1
12/17/2017,1521.74,
12/18/2017,1521.74,971.1
12/18/2017,1521.83,
12/19/2017,1521.83,971.1
12/19/2017,1519.83,
12/20/2017,1519.83,971.05
12/20/2017,1522.34,
12/21/2017,1522.34,971
12/21/2017,1522.59,
12/22/2017,1522.59,971
12/22/2017,1522.74,
12/23/2017,1522.74,971
12/23/2017,1522.86,
12/24/2017,1522.86,971.02
12/24/2017,1522.7,
12/25/2017,1522.7,974.3
12/25/2017,1522.2,
12/26/2017,1522.2,974.4
12/26/2017,1521.75,
12/27/2017,1521.75,974.4
12/27/2017,1521.31,
12/28/2017,1521.31,974.4
12/28/2017,1520.94,
12/29/2017,1520.94,974.4
12/29/2017,1520.66,
12/30/2017,1520.66,974.4
12/30/2017,1520.66,
12/31/2017,1520.66,974.4
12/31/2017,1520.7,
1/1/2018,1520.7,974.4
1/1/2018,1520.56,
1/2/2018,1520.56,974.4
1/2/2018,1520.27,
1/3/2018,1520.27,974.4
1/3/2018,1520.14,
1/4/2018,1520.14,971.19
1/4/2018,1520.28,
1/5/2018,1520.28,971.1
1/5/2018,1520.42,
1/6/2018,1520.42,971
1/6/2018,1520.57,
1/7/2018,1520.57,971
1/7/2018,1520.78,
1/8/2018,1520.78,971
1/8/2018,1520.98,
1/9/2018,1520.98,971
1/9/2018,1521.24,
1/10/2018,1521.24,971
1/10/2018,1521.9,
1/11/2018,1521.9,971
1/11/2018,1522.58,
1/12/2018,1522.58,971.53
1/12/2018,1523.26,
1/13/2018,1523.26,971.85
1/13/2018,1524.12,
1/14/2018,1524.12,971.85
1/14/2018,1524.92,
1/15/2018,1524.92,971.85
1/15/2018,1525.58,
1/16/2018,1525.58,971.85
1/16/2018,1526.19,
1/17/2018,1526.19,972.27
1/17/2018,1526.57,
1/18/2018,1526.57,972.98
1/18/2018,1526.84,
1/19/2018,1526.84,973.3
1/19/2018,1527.33,
1/20/2018,1527.33,973.3
1/20/2018,1527.73,
1/21/2018,1527.73,973.3
1/21/2018,1528.02,
1/22/2018,1528.02,973.3
1/22/2018,1528.24,
1/23/2018,1528.24,973.3
1/23/2018,1528.4,
1/24/2018,1528.4,973.3
1/24/2018,1528.6,
1/25/2018,1528.6,973.44
1/25/2018,1528.78,
1/26/2018,1528.78,973.7
1/26/2018,1528.95,
1/27/2018,1528.95,973.7
1/27/2018,1529.08,
1/28/2018,1529.08,973.7
1/28/2018,1529.11,
1/29/2018,1529.11,973.7
1/29/2018,1529.13,
1/30/2018,1529.13,973.7
1/30/2018,1529.16,
1/31/2018,1529.16,973.7
1/31/2018,1529.14,
2/1/2018,1529.14,974.78
2/1/2018,1528.98,
2/2/2018,1528.98,974.96
2/2/2018,1528.89,
2/3/2018,1528.89,974.95
2/3/2018,1529.23,
2/4/2018,1529.23,975
2/4/2018,1530.61,
2/5/2018,1530.61,975.04
2/5/2018,1534.23,
2/6/2018,1534.23,975.5
2/6/2018,1537.56,
2/7/2018,1537.56,975.38
2/7/2018,1539.61,
2/8/2018,1539.61,976.41
2/8/2018,1540.43,
2/9/2018,1540.43,979.3
2/9/2018,1540.82,
2/10/2018,1540.82,979.3
2/10/2018,1541.02,
2/11/2018,1541.02,979.3
2/11/2018,1540.97,
2/12/2018,1540.97,979.3
2/12/2018,1540.63,
2/13/2018,1540.63,979.3
2/13/2018,1540.08,
2/14/2018,1540.08,979.32
2/14/2018,1539.26,
2/15/2018,1539.26,980.77
2/15/2018,1537.89,
2/16/2018,1537.89,981.36
2/16/2018,1536.36,
2/17/2018,1536.36,981.44
2/17/2018,1534.61,
2/18/2018,1534.61,982.84
2/18/2018,1532.56,
2/19/2018,1532.56,982.9
2/19/2018,1530.34,
2/20/2018,1530.34,982.91
2/20/2018,1527.96,
2/21/2018,1527.96,982.96
2/21/2018,1525.5,
2/22/2018,1525.5,982.88
2/22/2018,1522.96,
2/23/2018,1522.96,983.01
2/23/2018,1520.46,
2/24/2018,1520.46,983
2/24/2018,1517.97,
2/25/2018,1517.97,983
2/25/2018,1515.39,
2/26/2018,1515.39,983
2/26/2018,1512.78,
2/27/2018,1512.78,983
2/27/2018,1510.1,
2/28/2018,1510.1,983
2/28/2018,1507.31,
3/1/2018,1507.31,983
3/1/2018,1504.51,
3/2/2018,1504.51,982.99
3/2/2018,1502.1,
3/3/2018,1502.1,980.88
3/3/2018,1500.01,
3/4/2018,1500.01,980.9
3/4/2018,1497.86,
3/5/2018,1497.86,980.9
3/5/2018,1495.69,
3/6/2018,1495.69,980.9
3/6/2018,1493.52,
3/7/2018,1493.52,980.9
3/7/2018,1491.36,
3/8/2018,1491.36,980.9
3/8/2018,1489.11,
3/9/2018,1489.11,981.23
3/9/2018,1486.87,
3/10/2018,1486.87,981.3
3/10/2018,1484.79,
3/11/2018,1484.79,981.3
3/11/2018,1482.63,981.3
3/12/2018,,981.3
3/12/2018,1480.44,981.3
3/13/2018,,981.3
3/13/2018,1478.25,981.3
3/14/2018,,981.3
3/14/2018,1476.11,981.3
3/15/2018,,981.3
3/15/2018,1474.34,980.47
3/16/2018,,980.47
3/16/2018,1472.71,980.38
3/17/2018,,980.38
3/17/2018,1471.14,979.9
3/18/2018,,979.9
3/18/2018,1469.69,979.9
3/19/2018,,979.9
3/19/2018,1468.16,979.98
3/20/2018,,979.98
3/20/2018,1466.57,979.9
3/21/2018,,979.9
3/21/2018,1464.96,979.89
3/22/2018,,979.89
3/22/2018,1463.43,979.8
3/23/2018,,979.8
3/23/2018,1462.19,979.8
3/24/2018,,979.8
3/24/2018,1461,979.8
3/25/2018,,979.8
3/25/2018,1459.69,979.8
3/26/2018,,979.8
3/26/2018,1458.44,978.2
3/27/2018,,978.2
3/27/2018,1457.91,976.7
3/28/2018,,976.7
3/28/2018,1457.46,976.7
3/29/2018,,976.7
3/29/2018,1457.07,976.7
3/30/2018,,976.7
3/30/2018,1456.63,976.7
3/31/2018,,976.7
3/31/2018,1456.21,976.7
