date,power_flow,total_outflow,spill_flow
9/30/2017,1.7,1.8,0
10/1/2017,1.7,1.8,0
10/2/2017,1.7,1.8,0
10/3/2017,1.7,1.8,0
10/4/2017,1.7,1.8,0
10/5/2017,1.7,1.8,0
10/6/2017,1.7,1.8,0
10/7/2017,1.7,1.8,0
10/8/2017,1.7,1.8,0
10/9/2017,1.7,1.8,0
10/10/2017,1.7,1.8,0
10/11/2017,1.7,1.8,0
10/12/2017,1.7,1.8,0
10/13/2017,1.7,1.8,0
10/14/2017,1.7,1.8,0
10/15/2017,1.7,1.8,0
10/16/2017,1.7,1.8,0
10/17/2017,1.7,1.8,0
10/18/2017,1.7,1.8,0
10/19/2017,1.7,1.8,0
10/20/2017,1.7,1.8,0
10/21/2017,1.7,1.8,0
10/22/2017,1.7,1.8,0
10/23/2017,1.7,1.8,0
10/24/2017,1.7,1.8,0
10/25/2017,1.7,1.8,0
10/26/2017,1.7,1.8,0
10/27/2017,1.7,1.8,0
10/28/2017,1.5,1.6,0
10/29/2017,1.6,1.7,0
10/30/2017,1.5,1.6,0
10/31/2017,1.5,1.6,0
11/1/2017,1.6,1.7,0
11/2/2017,1.6,1.7,0
11/3/2017,1.5,1.6,0
11/4/2017,1.5,1.6,0
11/5/2017,1.5,1.6,0
11/6/2017,1.5,1.6,0
11/7/2017,1.5,1.6,0
11/8/2017,1.5,1.6,0
11/9/2017,1.6,1.7,0
11/10/2017,1.6,1.7,0
11/11/2017,1.5,1.6,0
11/12/2017,1.5,1.6,0
11/13/2017,1.5,1.6,0
11/14/2017,1.5,1.6,0
11/15/2017,1.5,1.6,0
11/16/2017,1.5,1.6,0
11/17/2017,1.5,1.6,0
11/18/2017,1.5,1.6,0
11/19/2017,1.5,1.6,0
11/20/2017,1.5,1.6,0
11/21/2017,1.5,1.6,0
11/22/2017,1.6,1.7,0
11/23/2017,1.7,1.8,0
11/24/2017,1.7,1.8,0
11/25/2017,1.7,1.8,0
11/26/2017,4.7,4.8,0
11/27/2017,4.7,4.8,0
11/28/2017,4.7,4.8,0
11/29/2017,4.6,4.7,0
11/30/2017,4.7,4.8,0
12/1/2017,4.6,4.7,0
12/2/2017,4.7,4.8,0
12/3/2017,4.7,4.8,0
12/4/2017,4.7,4.8,0
12/5/2017,4.7,4.8,0
12/6/2017,4.6,4.8,0
12/7/2017,4.7,4.8,0
12/8/2017,4.7,4.8,0
12/9/2017,4.7,4.8,0
12/10/2017,4.7,4.8,0
12/11/2017,4.7,4.8,0
12/12/2017,4.7,4.8,0
12/13/2017,4.7,4.8,0
12/14/2017,4.7,4.8,0
12/15/2017,4.7,4.8,0
12/16/2017,1.8,1.9,0
12/17/2017,1.7,1.8,0
12/18/2017,1.7,1.8,0
12/19/2017,1.7,1.8,0
12/20/2017,1.7,1.8,0
12/21/2017,1.7,1.8,0
12/22/2017,1.7,1.8,0
12/23/2017,1.7,1.8,0
12/24/2017,1.7,1.8,0
12/25/2017,4.6,4.7,0
12/26/2017,4.7,4.8,0
12/27/2017,4.7,4.8,0
12/28/2017,4.7,4.8,0
12/29/2017,4.7,4.8,0
12/30/2017,4.7,4.8,0
12/31/2017,4.7,4.8,0
1/1/2018,4.7,4.8,0
1/2/2018,4.7,4.8,0
1/3/2018,4.7,4.8,0
1/4/2018,1.8,1.9,0
1/5/2018,1.7,1.8,0
1/6/2018,1.7,1.8,0
1/7/2018,1.7,1.8,0
1/8/2018,1.7,1.8,0
1/9/2018,1.7,1.8,0
1/10/2018,1.7,1.8,0
1/11/2018,1.7,1.8,0
1/12/2018,2.1,2.2,0
1/13/2018,2.3,2.4,0
1/14/2018,2.3,2.4,0
1/15/2018,2.3,2.4,0
1/16/2018,2.3,2.4,0
1/17/2018,2.3,2.9,0.5
1/18/2018,2.3,3.6,1.2
1/19/2018,2.3,4,1.5
1/20/2018,2.3,4,1.6
1/21/2018,2.3,4.1,1.7
1/22/2018,2.3,4,1.6
1/23/2018,2.3,4,1.5
1/24/2018,2.3,4.1,1.6
1/25/2018,2.3,4.2,1.8
1/26/2018,2.3,4.4,2
1/27/2018,2.3,4.4,2
1/28/2018,2.3,4.5,2.1
1/29/2018,2.3,4.6,2.2
1/30/2018,2.3,4.5,2.1
1/31/2018,2.3,4.5,2.1
2/1/2018,2.3,6,3.5
2/2/2018,2.3,5.9,3.5
2/3/2018,2.3,6,3.5
2/4/2018,2.3,6,3.6
2/5/2018,2.3,6,3.6
2/6/2018,2.3,5.9,3.6
2/7/2018,2.3,6,3.6
2/8/2018,3,8,4.8
2/9/2018,4.6,12.7,8
2/10/2018,4.6,12.5,7.9
2/11/2018,4.6,12.5,7.8
2/12/2018,4.6,12.6,7.9
2/13/2018,4.6,12.5,7.9
2/14/2018,4.6,12.4,7.8
2/15/2018,4.6,15.9,11.2
2/16/2018,4.6,16.9,12.2
2/17/2018,4.6,17,12.2
2/18/2018,4.7,20,15.3
2/19/2018,4.7,20.2,15.4
2/20/2018,4.7,20.1,15.3
2/21/2018,4.7,20.2,15.4
2/22/2018,4.7,20.1,15.3
2/23/2018,4.8,20.2,15.4
2/24/2018,4.8,20,15.1
2/25/2018,4.8,20,15.1
2/26/2018,4.9,20,15
2/27/2018,4.9,20,14.9
2/28/2018,5,20.1,15
3/1/2018,4.9,20.1,15.1
3/2/2018,4.5,20,15.3
3/3/2018,4.4,16,11.5
3/4/2018,4.5,16,11.4
3/5/2018,4.5,16,11.4
3/6/2018,4.5,16.1,11.5
3/7/2018,4.6,16,11.3
3/8/2018,4.6,16,11.3
3/9/2018,4.6,16.7,11.9
3/10/2018,4.7,16.5,11.7
3/11/2018,4.5,16.6,12
3/12/2018,4.5,16.5,11.9
3/13/2018,4.5,16.5,11.9
3/14/2018,4.6,16.5,11.9
3/15/2018,4.4,15.1,10.6
3/16/2018,4.3,14.9,10.6
3/17/2018,4.3,14,9.7
3/18/2018,4.3,14,9.6
3/19/2018,4.3,14.1,9.6
3/20/2018,4.3,14,9.6
3/21/2018,4.3,14,9.5
3/22/2018,4.4,14,9.5
3/23/2018,4.4,13.9,9.4
3/24/2018,4.4,14,9.5
3/25/2018,4.4,13.9,9.4
3/26/2018,4.3,11.1,6.7
3/27/2018,4.1,8.4,4.2
3/28/2018,4.1,8.4,4.2
3/29/2018,4.1,8.4,4.2
3/30/2018,4.1,8.4,4.2
3/31/2018,4.1,8.4,4.2
4/1/2018,4.1,8.4,4.2
4/2/2018,3.4,8.4,4.9
4/3/2018,3.4,8.4,4.9
4/4/2018,4.2,10,5.7
4/5/2018,4.2,9.9,5.7
4/6/2018,4.2,10.2,5.9
4/7/2018,4.2,10.3,6
4/8/2018,4.2,10.3,6
4/9/2018,3.7,10.2,6.4
4/10/2018,4.1,8.3,4.1
4/11/2018,4.1,7.4,3.3
4/12/2018,4,7.4,3.3
4/13/2018,4.2,7.5,3.2
4/14/2018,4.3,7.5,3.1
4/15/2018,4.2,7.5,3.1
4/16/2018,4.2,7.5,3.1
4/17/2018,4.2,7.5,3.2
4/18/2018,4.2,7.5,3.2
4/19/2018,4.2,7.5,3.2
4/20/2018,4.3,7.5,3.1
4/21/2018,4.4,7,2.4
4/22/2018,4.4,7,2.5
4/23/2018,4.4,7,2.5
4/24/2018,4.4,7,2.5
4/25/2018,4.6,6.4,1.8
4/26/2018,4.6,7.3,2.5
4/27/2018,4.6,7,2.3
4/28/2018,4.6,7,2.3
4/29/2018,4.6,7,2.4
4/30/2018,4.5,7.1,2.5
5/1/2018,4.5,4.6,0
5/2/2018,4.7,4.8,0
5/3/2018,4.8,4.9,0
5/4/2018,4.7,4.8,0
5/5/2018,4.7,4.8,0
5/6/2018,4.7,4.8,0
5/7/2018,4.7,4.8,0
5/8/2018,2.6,2.7,0
5/9/2018,2.4,2.5,0
5/10/2018,2.3,2.4,0
5/11/2018,2.3,2.4,0
5/12/2018,2.3,2.4,0.1
5/13/2018,2.2,2.4,0.1
5/14/2018,2.3,2.4,0
5/15/2018,2.3,2.4,0
5/16/2018,2.3,2.4,0
5/17/2018,2.3,2.4,0
5/18/2018,2,2.2,0.2
5/19/2018,2.1,2.2,0
5/20/2018,2.2,2.3,0
5/21/2018,1.7,3.1,1.3
5/22/2018,2.2,4.9,2.6
5/23/2018,3.3,4.7,1.3
5/24/2018,4.4,4.5,0
5/25/2018,4.3,4.4,0
5/26/2018,4.3,6,1.5
5/27/2018,4.3,6,1.6
5/28/2018,4.3,6.1,1.7
5/29/2018,4.3,6,1.6
5/30/2018,4.3,6.1,1.7
5/31/2018,4.3,6.1,1.7
6/1/2018,4.3,6.1,1.7
6/2/2018,4.3,6.1,1.7
6/3/2018,4.3,6.1,1.7
6/4/2018,4.3,5.2,0.9
6/5/2018,4.2,4.3,0
6/6/2018,4.2,4.3,0
6/7/2018,4.2,4.3,0
6/8/2018,2.1,2.2,0
6/9/2018,1.9,2.2,0.2
6/10/2018,2.1,2.2,0
6/11/2018,2.1,2.2,0
6/12/2018,2.1,2.2,0
6/13/2018,2.1,2.2,0
6/14/2018,2.1,2.2,0
6/15/2018,2.1,2.2,0
6/16/2018,2.1,2.2,0
6/17/2018,2.1,2.2,0
6/18/2018,2.1,2.2,0
6/19/2018,4.2,4.3,0
6/20/2018,4.2,4.3,0
6/21/2018,4.2,4.3,0
6/22/2018,4.2,4.3,0
6/23/2018,4.2,5.9,1.6
6/24/2018,4.2,6,1.7
6/25/2018,4.2,4.8,0.6
6/26/2018,3.9,4,0
6/27/2018,4,4.5,0.3
6/28/2018,4.2,5,0.7
6/29/2018,4.2,5.2,1
6/30/2018,4.2,4.9,0.6
7/1/2018,4.2,4.8,0.6
7/2/2018,4.2,4.9,0.6
7/3/2018,4.6,5.1,0.4
7/4/2018,5.2,5.3,0
7/5/2018,5.2,5.3,0
7/6/2018,7.7,8.3,0.6
7/7/2018,9.4,9.5,0
7/8/2018,9.4,9.5,0
7/9/2018,9.4,11.1,1.6
7/10/2018,9.5,12.8,3.2
7/11/2018,9.5,12.8,3.3
7/12/2018,9.4,12.7,3.3
7/13/2018,9.5,12.8,3.2
7/14/2018,9.5,12.6,3
7/15/2018,9.5,12.8,3.2
7/16/2018,9.5,12.8,3.2
7/17/2018,9.6,12.9,3.2
7/18/2018,9.6,12.9,3.2
7/19/2018,6.8,8.9,1.9
7/20/2018,9.6,10.7,1
7/21/2018,9.6,10.6,0.9
7/22/2018,9.6,11.8,2.1
7/23/2018,9.6,13,3.2
7/24/2018,5.1,7.4,2.2
7/25/2018,9.7,12.9,3.1
7/26/2018,8.1,12,3.9
7/27/2018,8.2,11,2.7
7/28/2018,9.7,13.1,3.3
7/29/2018,9.7,13,3.2
7/30/2018,8.5,11.4,2.8
7/31/2018,9.8,12.9,3.1
8/1/2018,9.8,12.9,3
8/2/2018,9.8,13,3
8/3/2018,9.8,13,3
8/4/2018,9.8,10.6,0.6
8/5/2018,9.7,10.4,0.6
8/6/2018,9.9,11.9,1.9
8/7/2018,9.9,13,3
8/8/2018,9.9,13,2.9
8/9/2018,9.2,12.3,2.9
8/10/2018,10,13,2.9
8/11/2018,9.7,9.8,0
8/12/2018,10,10.1,0
8/13/2018,10,9.9,0
8/14/2018,10,10.1,0
8/15/2018,10.1,10.2,0
8/16/2018,7.5,7.6,0
8/17/2018,7.4,7.5,0
8/18/2018,7.4,7.5,0
8/19/2018,7.2,7.3,0
8/20/2018,7.4,7.5,0
8/21/2018,7.4,7.6,0
8/22/2018,7.5,7.6,0
8/23/2018,7.5,7.6,0
8/24/2018,7.5,7.6,0
8/25/2018,7.5,7.6,0
8/26/2018,7.5,7.6,0
8/27/2018,7.5,7.6,0
8/28/2018,7.5,7.6,0
8/29/2018,7.5,7.6,0
8/30/2018,7.5,7.6,0
8/31/2018,7.5,7.6,0
9/1/2018,6.8,6.9,0
9/2/2018,6.4,6.5,0
9/3/2018,6.1,6.2,0
9/4/2018,5.4,5.5,0
9/5/2018,5.4,5.5,0
9/6/2018,5.3,5.4,0
9/7/2018,5.3,5.4,0
9/8/2018,5.4,5.5,0
9/9/2018,5.4,5.5,0
9/10/2018,5.4,5.5,0
9/11/2018,5.4,5.5,0
9/12/2018,5.4,5.5,0
9/13/2018,5.4,5.5,0
9/14/2018,5.4,5.5,0
9/15/2018,5.4,5.5,0
9/16/2018,4.8,4.9,0
9/17/2018,4.5,4.6,0
